Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
282769,0,16.81,33.66,5.43,24.531
657442,91,13.7,33.324,5.74,24.957
157944,9,12.4,33.59,6.35,25.419
45210,125,9.24,32.885,5.29,25.427
474774,30,16.33,35.19,,25.82
526069,600,5.65,34.295,0.53,27.046
759252,19,16.87,33.203,5.83,24.168
257839,29,11.18,33.04,5.12,25.219
767096,60,11.81,33.059,5.13,25.119
534950,400,6.86,34.203,0.92,26.815
17568,415,5.98,34.2,0.81,26.928
782091,120,12.33,33.248,5.15,25.17
331100,50,16.96,33.99,5.17,24.751
676649,100,12.13,33.153,5.32,25.133
165606,250,8.06,34.019,2.99,26.499
130994,20,13.01,32.94,6.04,24.797
15994,125,13.54,33.548,5.47,25.164
67340,473,6.4,,0.44,
251746,500,7.45,34.565,0.24,27.02
364763,411,7.83,34.434,0.32,26.861
870262,739,5.447,34.3813,0.122,27.1473
146053,250,10.2,34.545,0.5,26.568
150133,383,8.4,34.49,0.33,26.819
103094,147,9.16,,3.4,
448049,150,12.39,34.578,0.85,26.191
688797,50,16.39,33.4,5.74,24.431
358591,142,14.36,33.928,5.27,25.288
800540,2,17.92,33.344,5.55,24.025
457737,279,7.54,34.05,,26.599
526407,100,10.44,33.005,5.96,25.322
572042,200,8.46,34.053,2.38,26.464
717785,44,17.35,33.198,5.66,24.052
677069,376,6.44,34.111,1.29,26.798
850227,320,8.265,34.2209,1.089,26.6325
443467,75,9.71,33.812,,26.075
416986,0,12.73,33.36,,25.176
361228,808,4.46,34.411,0.59,27.276
626567,800,4.46,34.425,,27.286
739793,269,7.44,34.082,1.83,26.638
139284,297,7.93,34.16,1.43,26.629
85197,1000,4.1,34.524,0.57,27.405
549247,250,8,34.2,,26.65
528913,257,8.31,34.135,2.01,26.552
729929,0,13.86,33.53,5.99,25.08
82281,71,8.66,,4.32,
548114,150,9.1,33.819,,26.18
136471,400,7.85,34.479,0.31,26.893
89503,300,8.24,,1.7,
716366,500,5.29,34.132,0.75,26.958
572974,43,,,,
66128,20,19.66,33.453,,23.673
300872,12,16.47,33.62,5.54,24.58
205916,29,12.38,33.45,5.18,25.314
629468,400,6.63,34.24,,26.874
431520,30,12.73,,4.8,
480175,1,15.98,33.543,6.1,24.632
666302,277,8.13,34.016,2.93,26.486
550718,475,5.99,34.321,0.44,27.023
328838,50,18.79,33.808,5.13,24.167
813901,200,8.81,34.144,1.66,26.482
441276,100,13.24,33.138,6.1,24.906
502862,10,18.54,33.68,,24.13
65926,20,19.56,33.687,,23.877
250280,400,6.9,34.27,0.92,26.863
311046,237,7.99,34.09,2.03,26.564
886832,1,17.834,33.3237,5.596,24.03007
87504,826,5.24,,0.27,
464462,300,7,34.061,1.63,26.683
706346,20,18.92,33.497,5.73,23.895
216980,75,10.7,33.18,6.37,25.413
171747,30,12.78,33.37,,25.175
479757,300,7.19,34.127,1.42,26.709
516987,47,13.64,33.34,5.77,24.98
747434,171,9.04,34.136,1.73,26.438
779372,9,15.01,33.025,5.83,24.449
451695,75,16.41,33.76,,24.704
544263,0,15.04,33.563,5.98,24.856
554475,200,8.42,34.035,2.49,26.456
412502,31,14.94,,5.86,
155348,75,9.15,33.431,4.39,25.868
481745,550,4.93,34.27,,27.11
1085,250,7.82,34.035,,26.546
472410,400,8.88,34.49,,26.745
398091,125,10.03,33.572,4.17,25.835
606764,1,13.59,32.549,6.37,24.378
636498,84,9.97,33.888,2.78,26.091
806825,10,15.52,33.429,7.27,24.648
731560,115,11.44,33.386,5.33,25.443
357436,675,5,34.334,0.52,27.154
805270,75,10.36,33.779,3.52,25.939
680557,61,11.01,33.468,4.34,25.583
544527,74,15.37,33.506,5.82,24.743
830788,0,18.75,33.586,6.08,24.005
360495,51,15.61,34.278,1.95,25.283
20069,800,4.15,34.251,0.46,27.181
246677,107,12.8,34.07,2.24,25.715
721357,138,8.92,34.017,2.29,26.364
546553,40,13.94,33.118,,24.747
316879,10,13.14,32.886,5.85,24.729
186980,65,17,33.35,,24.252
89420,125,14.63,,5.17,
872000,0,18.642,33.5122,5.398,23.97545
26284,214,8.86,34.18,1.82,26.502
147933,404,7.06,34.25,,26.825
348141,219,7.98,33.946,3.22,26.453
102599,125,,,,
883105,516,5.992,34.3006,0.293,27.01256
272140,96,14.31,33.83,4.26,25.222
543659,30,12.06,33.604,3.58,25.495
775372,378,7.28,34.239,0.79,26.786
835911,9,12.91,33.3258,6.083,25.11492
497466,300,8.23,34.22,,26.632
619672,300,8.08,34.011,3.38,26.49
113206,286,9.53,34.47,0.52,26.623
886925,10,18.995,33.4314,5.399,23.82598
338981,400,7.36,34.303,0.71,26.825
70255,196,8.95,33.93,,26.292
135230,100,11.48,32.996,5.75,25.132
349906,1100,3.89,34.509,0.65,27.416
251580,55,19.16,34.52,5.26,24.617
852950,0,20.434,33.1694,5.284,23.2533
645533,125,9.57,33.767,3.31,26.063
442212,45,11.9,33.295,5.97,25.285
361982,900,4.06,34.434,0.58,27.337
66381,20,15.46,,5.72,
831215,20,14.647,33.4543,5.671,24.8585
580818,250,9.08,34.138,2.18,26.435
572495,25,14.94,33.05,6.07,24.483
527941,50,14.42,33.206,6,24.715
522007,142,11.48,33.565,5.12,25.575
834861,94,12.591,33.1982,5.629,25.08265
71100,2800,1.68,34.618,2.6,27.705
508869,225,8.43,34.1,,26.506
704091,522,5.6,34.23,0.44,26.999
804915,75,9.95,33.205,,25.561
307403,2600,1.75,34.641,2.11,27.718
334509,192,8.7,33.682,3.64,26.136
837375,124,11.17,33.4003,4.767,25.50545
467842,2864,1.6,34.66,2.58,27.745
645342,40,11.9,33.427,6.38,25.388
124035,0,17.19,33.39,5.66,24.235
725549,120,9.66,33.785,3.56,26.063
860860,440,6.405,34.2362,0.505,26.90754
786690,75,10.7,33.346,4.88,25.543
424507,30,12.47,32.767,6.47,24.768
568355,41,16.15,33.452,5.76,24.525
668842,11,15.15,31.619,5.7,23.336
326943,20,21.11,33.786,5.01,23.543
17106,570,5.06,34.22,0.49,27.055
522040,150,10.11,33.916,3.16,26.09
316158,100,10.02,33.489,4.34,25.771
631057,1000,4.21,34.469,,27.349
173242,900,4.45,34.501,,27.349
779218,85,11.87,33.334,4.46,25.322
123374,62,15.78,,,
268206,387,6.94,34.23,0.91,26.826
432895,10,20.77,33.64,,23.523
55504,20,17.77,32.298,5.77,23.261
152274,20,11.22,33.77,4.25,25.779
708783,46,16.37,33.519,5.6,24.527
533178,30,17.4,33.229,5.79,24.063
13674,1400,3.08,,1.4,
325140,202,10.99,34.61,0.24,26.479
235604,150,10.31,33.904,2.83,26.047
851069,0,15.221,33.2763,6.039,24.59599
761679,110,10.73,33.073,4.85,25.325
170886,400,7.72,34.182,2.31,26.679
220751,226,8.5,34.23,1.16,26.597
250266,95,11.46,33.48,4.6,25.512
764326,101,9.67,33.9,2.45,26.151
117006,0,,33.3,5.74,
12501,1100,3.7,34.511,0.84,27.436
611122,350,6.64,34.069,,26.739
598261,51,10.64,33.753,2.67,25.87
455553,0,12.18,33.01,,25.01
323648,10,9.95,33.56,5.56,25.837
731381,41,10.49,33.802,3.54,25.934
167044,246,7.38,34.13,,26.684
650993,179,9.36,33.949,2.71,26.241
546720,125,12.64,33.57,,25.36
122392,242,,34.34,1.1,
114509,300,7.23,34.078,1.64,26.665
20800,200,8.73,33.583,4.12,26.054
515795,62,13.86,33.343,5.69,24.938
163507,300,7.39,34.063,,26.631
100951,913,3.76,,0.32,
865020,120,9.324,33.7235,3.089,26.0714
142481,44,9.88,33.54,3.38,25.833
632235,10,18.57,33.617,6.19,24.074
547464,30,12.51,33.677,,25.465
144391,1218,3.35,34.55,0.87,27.502
5535,99,9.36,33.73,4.8,26.068
752328,20,17.03,33.293,5.64,24.199
541823,0,13.41,33.598,,25.225
172526,62,10.72,33.58,,25.721
334309,484,5.26,34.17,0.62,26.992
800235,437,5.95,34.157,0.71,26.898
428340,125,8.41,33.97,,26.406
470191,20,14.97,33.47,,24.801
320985,200,8.85,33.897,2.97,26.282
894687,0,17.322,24.42177,7.165,24.42177
827040,84,13.59,33.309,5.61,24.968
794263,436,6.62,34.29,0.43,26.917
316178,0,14.18,33.205,5.95,24.764
738394,199,8.54,34.048,2.43,26.448
50695,71,15.36,33.42,5.36,24.678
711829,500,6.18,34.343,0.25,27.016
224789,50,18.33,34.285,4.5,24.646
259340,100,13.15,34.244,1.61,25.781
74539,1100,3.69,34.582,0.81,27.494
474722,75,15.29,35.16,,26.035
78479,949,4.03,,0.6,
303952,250,10.43,34.528,0.4,26.515
291522,125,13.28,34.44,0.73,25.907
614751,140,9.76,33.78,,26.041
297101,116,13.94,33.64,5.4,25.153
645361,322,6.47,34.044,1.77,26.741
852002,20,16.412,33.2497,6.197,24.31014
471401,150,18.33,34.99,,25.19
504809,550,5.65,34.32,,27.065
64415,196,11,34.33,1.16,26.259
138076,70,12.24,33.35,5.04,25.265
38756,300,7.78,34.233,1.05,26.708
407384,142,10.14,33.493,4.44,25.755
526134,11,16.19,33.05,5.8,24.206
765955,120,9.3,33.893,2.72,26.206
560027,413,5.9,34.036,1.67,26.808
301597,400,7.22,34.332,0.9,26.868
589363,478,6.05,34.293,0.44,26.993
551230,114,9.33,33.916,3.08,26.219
23747,844,3.66,34.42,0.46,27.365
90756,300,6.51,33.945,1.74,26.657
214568,341,10.33,34.77,0.24,26.723
474426,30,16.57,,5.15,
851936,440,6.907,34.2717,0.497,26.8693
32164,64,14.64,33.62,5.45,24.989
129934,474,5.81,34.16,0.61,26.918
854692,3,18.453,33.2986,5.42,23.85941
696415,16,18.28,33.293,5.57,23.898
611429,1,14.46,33.511,6.02,24.941
58717,10,19.4,33.12,5.49,23.485
146089,20,14.12,33.55,6.57,25.043
440206,200,9.41,34.13,,26.375
109788,480,6.59,34.25,0.56,26.89
262459,400,7.53,34.199,1.11,26.719
708258,500,7.12,34.318,0.46,26.872
501372,40,13.68,33.56,,25.142
293214,89,12.68,33.56,4.74,25.343
139874,150,8.6,33.841,2.65,26.276
163141,20,14.31,33.53,6.06,24.988
674128,40,14.86,33.233,5.86,24.642
791880,9,16.5,,,
609367,0,13.28,32.697,,24.553
337477,156,9.62,33.522,4.52,25.864
142453,100,9.59,33.642,,25.962
3694,185,8.45,33.78,3.08,26.251
708958,89,17.63,33.684,5.5,24.359
718533,94,12.67,33.087,5.41,24.979
874063,320,7.258,34.0301,2.048,26.62777
33398,9,11.5,32.9,,25.051
429426,125,12.4,33.44,,25.305
694714,400,6.58,34.038,1.9,26.723
83140,377,6.49,,1.06,
771778,171,9.52,34.21,1.67,26.419
152791,104,12.06,33.73,3.73,25.594
289486,100,9.02,33.964,2.09,26.306
782387,300,8.21,34.249,1.15,26.657
597304,30,13.02,33.131,6.24,24.943
330052,58,11.54,33.381,5.19,25.419
191207,10,14.66,33.5,5.7,24.89
63341,20,23.44,34.38,4.75,23.339
443900,556,6.04,34.337,0.56,27.03
340417,125,8.77,33.891,3.2,26.288
746340,75,15.29,33.489,5.8,24.747
115268,72,,33.27,5.03,
521901,518,6.45,34.325,0.49,26.968
596501,175,10.36,33.685,4.34,25.868
380220,100,12.89,33.734,4.47,25.437
230384,113,13.91,33.59,5.28,25.12
716482,169,8.46,33.926,3.19,26.364
870583,50,12.426,33.3662,4.774,25.24241
384470,150,9.84,33.93,2.76,26.147
595931,400,6.42,34.138,1.06,26.823
551251,29,15.49,33.317,6.04,24.569
250954,150,9.56,34.006,2.6,26.252
453706,622,6.3,34.411,0.31,27.056
408973,128,9.76,33.772,3.32,26.036
302682,30,22.66,34.74,4.61,23.837
156090,600,6.01,34.384,0.26,27.072
147259,10,14.91,33.368,6.99,24.734
568430,82,15.51,33.458,5.77,24.675
343351,10,18.34,33.825,5.39,24.29
153792,198,8.72,,,
720169,200,8.16,34.039,2.42,26.499
808896,141,10.38,33.777,3.13,25.935
475296,56,17.06,,5.08,
643415,150,8.58,33.962,3.01,26.374
879651,400,6.299,34.1064,0.96,26.8177
291371,152,10.87,34.16,1.79,26.148
17242,90,14.16,33.55,5.9,25.037
717356,114,10.76,33.67,3.95,25.785
888597,171,8.863,34.0339,2.191,26.38934
384321,411,6.5,34.251,0.52,26.901
27690,125,11.16,,5.25,
198554,23,17.21,33.21,5.36,24.093
461788,600,5.17,34.25,,27.067
499232,75,15.98,33.83,,24.856
143190,19,14.1,33.22,5.9,24.792
221951,250,7.55,34.188,1.3,26.706
193594,20,16.39,33.833,5.42,24.762
139139,10,16.85,33.853,5.43,24.671
753559,20,14.64,32.896,5.95,24.429
525156,20,17.45,33.562,5.62,24.306
464983,800,4.83,34.453,0.35,27.269
748512,3,15.82,33.066,5.84,24.302
194477,393,6.23,34.15,0.82,26.856
533461,62,17.09,33.38,5.87,24.253
434231,250,8.96,34.2,,26.503
549482,125,10,33.929,3.69,26.119
888300,441,6.678,34.2565,0.45,26.88791
34175,300,7.18,33.993,,26.605
429053,100,9.88,33.81,,26.045
131593,287,9.41,34.56,0.29,26.713
720943,20,14.54,33.396,5.87,24.836
777057,199,9.01,34.085,2.1,26.404
469566,900,3.36,34.335,,27.327
631224,300,9.18,34.338,,26.576
389393,10,15.7,33.373,5.77,24.565
410657,75,12.89,33.24,,25.054
516786,544,5.7,,0.36,
239999,0,17.9,33.64,5.8,24.25
120835,300,6.77,34.062,1.66,26.715
161541,75,11.03,33.365,,25.499
363412,1000,4,34.492,0.8,27.39
165655,23,17.93,33.54,,24.173
392219,400,6.89,34.237,0.86,26.838
402994,300,7.57,34.27,,26.768
764908,400,6.26,34.111,1.11,26.822
818899,100,9.9,33.693,3.23,25.95
